Nutrient Value of Some Common Foods - 2008 Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAIRY FOODS AND OTHER RELATED PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin D,Folate ,Vitamin B12,Riboflavin,,,,,,,,,,,,,,,,,,
,,g,kcal,kJ,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,µg,DFE,µg,mg,,,,,,,,,,,,,,,,,,
MILK AND SUBSTITUTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hot chocolate, aspartame sweetened, powder + water",250mL,270,78,326,3,15,9,1,0,0,127,1.1,240,569,46,189,38,,3,0.35,0.29,,,,,,,,,,,,,,,,,,
"Hot chocolate, homemade with cocoa + 2% milk",250mL,264,203,851,9,28,26,6,3.8,21,277,1.3,116,520,61,277,135,2.6,13,1.11,0.48,,,,,,,,,,,,,,,,,,
"Hot chocolate, powder + 2% milk",250mL,264,255,1068,10,41,37,6,3.8,20,318,0.5,272,595,55,327,126,2.5,11,1.52,0.62,,,,,,,,,,,,,,,,,,
"Hot chocolate, powder + water",250mL,291,160,669,2,34,30,2,0.9,3,64,0.5,206,285,35,125,0,,0,0.52,0.23,,,,,,,,,,,,,,,,,,
Instant breakfast powder + 2% milk,250mL,280,260,1087,16,36,12,5,3.1,24,555,3.9,286,811,61,459,444,2.6,12,2.21,1.41,,,,,,,,,,,,,,,,,,
"Milk shake, chocolate",250mL,249,296,1240,8,53,52,7,4.2,27,329,0.8,276,558,40,314,45,1.0,12,0.80,0.55,,,,,,,,,,,,,,,,,,
"Milk shake, vanilla",250mL,249,279,1166,10,44,44,8,4.7,30,364,0.2,237,456,30,286,62,0.5,17,1.30,0.49,,,,,,,,,,,,,,,,,,
YOGOURTS AND OTHER FERMENTABLE BEVERAGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drinkable yogourt,200mL,207,145,607,5,24,24,3,2.1,12,191,0.2,81,257,23,157,,0.2,25,0.58,0.23,,,,,,,,,,,,,,,,,,
"Fresh cheese (DanimalTM, MinigoTM)",1,60,68,286,3,10,10,2,1.1,6,138,0.1,32,84,7,50,,,,,,,,,,,,,,,,,,,,,,,
"Kefir, plain",175mL,165,104,433,6,7,6,6,3.8,25,187,0.1,70,250,19,148,58,0.2,23,0.33,0.30,,,,,,,,,,,,,,,,,,
Yogourt parfait with berries and granola,175mL,188,233,973,7,40,3,5,2.7,14,208,2.2,119,337,36,201,23,0,40,0.59,0.31,,,,,,,,,,,,,,,,,,
"Yogourt, plain, 1-2% M.F.",175mL,181,114,477,10,13,13,3,1.8,11,332,0.1,127,424,31,261,25,,20,1.01,0.39,,,,,,,,,,,,,,,,,,
"Yogourt, plain, 2-4% M.F.",175mL,181,129,538,9,12,8,5,3.3,17,292,0.1,111,412,28,246,31,,21,1.03,0.42,,,,,,,,,,,,,,,,,,
"Yogourt, plain, fat-free",175mL,189,79,332,8,11,9,tr,0,6,253,0.1,113,368,26,215,,1.8,,0.89,0.32,,,,,,,,,,,,,,,,,,
"Yogourt, vanilla or fruit, 1-2% M.F.",175mL,185,183,767,7,30,25,4,2.3,17,227,0.1,98,335,20,167,,,,0.31,0.15,,,,,,,,,,,,,,,,,,
"Yogourt, vanilla or fruit, fat-free",175mL,181,116,484,8,21,19,tr,tr,4,229,0.2,103,349,20,163,,,,0.59,,,,,,,,,,,,,,,,,,,
"Yogourt, vanilla or fruit, fat-free with sugar substitute",175mL,189,94,394,7,16,14,tr,0,6,205,0.2,92,311,22,179,,1.4,,0.72,0.27,,,,,,,,,,,,,,,,,,
CHEESE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue,50g,50,177,738,11,1,tr,14,9.3,38,264,0.2,698,128,12,194,99,0.2,18,0.61,0.19,,,,,,,,,,,,,,,,,,
Brick,50g,50,186,776,12,1,tr,15,9.4,47,337,0.2,280,68,12,226,146,0.2,10,0.63,0.18,,,,,,,,,,,,,,,,,,
Brie,50g,50,167,699,10,tr,tr,14,8.7,50,92,0.3,315,76,10,94,87,0.2,33,0.83,0.26,,,,,,,,,,,,,,,,,,
Camembert,50g,50,150,628,10,tr,tr,12,7.6,36,194,0.2,421,94,10,174,121,0.2,31,0.65,0.24,,,,,,,,,,,,,,,,,,
Cheddar,50g,50,202,843,12,1,tr,17,10.5,53,361,0.3,311,49,14,256,133,0.1,9,0.42,0.19,,,,,,,,,,,,,,,,,,
