Nutrient Value of Some Common Foods - 2008 Edition,,,,,,,,,,,,,,,,,,,,,
BAKED GOODS,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Thiamin,Riboflavin,Niacin,Folate 
"Shortcake, biscuit-type, homemade (4cm X 7.5cm diam)",1,75,234,978,5,34,8,1,8,2.4,28,106,1.7,459,96,12,100,0.2,0.24,3.1,72
"Sponge, commercial, individual shell",1,25,72,302,1,15,9,0.1,1,0.2,26,18,0.7,61,25,3,34,0,0.07,0.8,18
"Sponge, homemade (25cm diam)",  1/12,63,187,782,5,36,,0.2,3,0.8,107,26,1,144,89,6,63,0.1,0.19,1.7,33
"White, from mix, with icing (2 layer, 23cm diam)",  1/12,109,363,1518,3,66,51,0.9,10,1.6,tr,41,0.9,342,76,15,138,0.1,0.12,1.9,47
"White, homemade, with icing (2 layer, 23cm diam)",  1/12,109,371,1553,3,70,56,0.3,9,2.5,1,50,1.3,205,55,5,41,0.1,0.14,1.9,33
"Yellow, from mix, with icing (2 layer, 23cm diam)",  1/12,109,363,1519,4,64,47,0.9,11,2,46,60,1.1,338,74,15,137,0.1,0.14,2,57
"Yellow, frozen, commercial, with chocolate icing (1 layer, 5cm X 20cm diam)",  1/6 ,85,,,,,,,,,,,,,,,,,,,
Pies,,,,,,,,,,,,,,,,,,,,,
"Apple, commercial, 2 crust (23cm diam)",  1/8 ,125,296,1239,2,43,20,2,14,4.7,0,14,0.6,333,81,9,30,tr,0.03,0.9,54
"Apple, homemade, 2 crust (23cm diam)",  1/8 ,155,411,1717,4,58,,2.3,19,4.7,0,11,1.7,327,122,11,43,0.2,0.17,2.7,59
"Banana cream, from mix, no-bake type (23cm diam)",  1/8 ,92,231,966,3,29,,0.6,12,6.4,27,67,0.4,267,104,11,154,0.1,0.13,1.4,28
Butter tart,1,54,248,1038,2,29,15,0.7,14,5.6,30,22,1.1,164,109,10,35,0.1,0.1,1.5,35
"Cherry, commercial, 2 crust (23cm diam)",  1/8 ,125,325,1359,3,50,18,1,14,3.2,0,15,2,308,101,10,36,0.2,0.16,2.5,50
"Chocolate cream, commercial (20cm diam)",  1/6 ,113,344,1436,3,38,,2.3,22,5.6,6,41,1.2,154,144,24,77,tr,0.12,1.4,19
"Coconut cream, commercial (20cm diam)",  1/6 ,64,191,797,1,24,23,0.8,11,4.5,0,19,0.5,163,42,13,54,tr,0.05,0.4,5
"Fried pie, fruit (13cm X 10cm)",1,128,404,1692,4,55,27,3.3,21,3.1,0,28,1.6,479,83,13,55,0.2,0.14,2.7,36
"Lemon meringue, commercial (20cm diam)",  1/6 ,113,303,1267,2,53,27,1.4,10,2,51,63,0.7,165,101,17,119,0.1,0.24,1.1,40
"Mincemeat pie, homemade, 2 crust (23cm diam)",  1/8 ,165,477,1995,4,79,47,4.3,18,4.4,0,36,2.5,419,335,23,69,0.2,0.17,2.7,59
"Pecan, commercial (20cm diam)",  1/6 ,113,452,1890,5,65,32,4,21,4,36,19,1.2,479,84,20,87,0.1,0.14,1.5,61
"Pumpkin, commercial (20cm diam)",  1/6 ,109,229,957,4,30,15,2.9,10,1.9,22,65,1.5,307,168,16,77,0.2,0.22,1.9,35
"Sugar pie, homemade, 1 crust",  1/8 ,88,407,1703,3,31,18,0.5,31,17.3,84,61,1.1,81,139,13,59,0.1,0.15,1.6,34
Other Baked Goods,,,,,,,,,,,,,,,,,,,,,
"Apple crisp, homemade",125mL,128,206,863,2,39,25,1.8,4,0.9,0,45,1,449,100,10,36,0.1,0.1,,31
"Bread pudding with raisins, homemade",125mL,106,162,677,6,24,15,0.9,5,1.8,61,124,1.2,252,228,18,111,0.1,0.26,2.1,31
"Danish pastry, cinnamon (11cm diam)",1,65,262,1095,5,29,13,0.8,15,3.7,14,46,1.3,241,81,12,70,0.2,0.17,2.8,60
"Danish pastry, fruit (11cm diam)",1,71,263,1102,4,34,20,1.3,13,3.5,81,33,1.3,251,59,11,63,0.2,0.16,2.2,49
"Date squares, homemade",1 square,61,226,944,3,37,,2.3,8,4.7,20,21,2,241,154,23,61,0.2,0.08,1.7,31
"Doughnut, cake-type, plain (8cm diam)",1,47,198,828,2,23,11,0.7,11,1.7,17,21,0.9,257,60,9,126,0.1,0.11,1.4,39
"Doughnut, cake-type, plain, chocolate coated (9cm diam)",1,57,270,1130,3,27,13,1.1,18,4.6,35,20,1.4,245,112,23,115,0.1,0.06,1.4,39
"Doughnut, yeast-leavened, honey bun, glazed (9cm x 6cm)",1,60,242,1011,4,27,14,0.7,14,3.5,4,26,1.2,205,65,13,56,0.2,0.13,2.5,41
"Doughnut, yeast-leavened, jelly filled (9cm X 6cm)",1,85,289,1209,5,33,18,0.8,16,4.1,22,21,1.5,249,67,17,72,0.3,0.12,2.8,88
"Eclairs, custard filled, chocolate glaze",1,100,262,1096,6,24,7,0.6,16,4.1,127,63,1.2,337,117,15,107,0.1,0.27,2.1,63
"Rice Krispies SquaresTM, commercial",1 square,22,91,381,1,18,,0.1,2,0.3,0,1,0.3,77,9,3,9,0.3,0.3,3.7,38
"Toaster pastries (Pop-TartsTM), brown sugar & cinnamon",1,50,206,862,3,34,,0.5,7,1.8,0,17,2,212,57,12,67,0.2,0.29,2.8,21
"Toaster pastries (Pop-TartsTM), fruit, frosted",1,55,215,900,2,39,20,0.4,6,1.5,0,16,3.9,387,81,13,75,0.2,0.2,,39
